OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
134,A477162,SNOOP,DOG,A22-489747,STRAY,W STOCKTON BLVD & JACINTO RD,2022/08/31 07:00:00+00,FOSTER,2022/09/29 07:00:00+00,10Y,BLACK,N,FOST2ADOPT
135,A477186,MARGE,DOG,A20-450373,FOSTER,,2020/06/01 07:00:00+00,ADOPTION,2020/06/01 07:00:00+00,12Y,BLACK,S,EMERGENCY
136,A477186,MARGE,DOG,A20-450373,STRAY,18TH AVE & 36TH ST,2020/01/19 08:00:00+00,FOSTER,2020/01/26 08:00:00+00,12Y,BLACK,S,SPACE
137,A477363,IGOR,DOG,A21-476261,STRAY,FREEPORT BLVD & MEADOWVIEW RD,2021/11/13 08:00:00+00,EUTH,2022/01/20 08:00:00+00,9Y,BROWN,N,BEHAVIOR
138,A477912,CINNAMON,DOG,,STRAY,12TH AVE & MARTIN LUTHER KING JR BLVD,2022/10/02 00:00:00+00,,,9Y,TAN,S,
139,A479546,ROSIE,DOG,A20-451410,STRAY,T ST & 40TH ST,2020/02/08 08:00:00+00,ADOPTION,2020/02/15 08:00:00+00,7Y,TAN,S,NORMAL
140,A480172,PAPAS,DOG,,STRAY,ARMADALE WAY & FARNELL WAY,2020/03/18 07:00:00+00,RTO,2020/03/19 07:00:00+00,10Y,GRAY,N,IMP 2
141,A480172,PAPAS,DOG,,STRAY,29TH ST & TWILIGHT DR,2021/04/16 07:00:00+00,,2021/05/19 07:00:00+00,10Y,GRAY,N,
142,A480172,PAPAS,DOG,,STRAY,7500 32ND ST,2021/09/09 07:00:00+00,RTO,2021/09/09 07:00:00+00,10Y,GRAY,N,PHONE
143,A482040,SWEETIE,DOG,,STRAY,5TH ST & 24TH ST,2022/04/29 07:00:00+00,RTO,2022/04/29 07:00:00+00,8Y,BLACK,S,PET UNIFY
144,A483101,CHUKO,DOG,A20-456103,STRAY,POWER INN RD & HICKORY AVE,2020/06/24 07:00:00+00,RTO,2020/06/24 07:00:00+00,9Y,BLACK,M,IMP 1
145,A483101,CHUKO,DOG,A20-456166,STRAY,E. RAIL ROAD AVE & 8TH AVE,2020/06/26 07:00:00+00,RTO,2020/07/07 07:00:00+00,9Y,BLACK,M,PHONE
